log_PAX	DateOfDeparture	Holiday_cleaned	Weekday	WeeksToDeparture	std_wtd	Departure	Arrival	Month	Day	Year
11.5826	2012-07-23	Regular	Monday	14.037	9.7052	ORD	DEN	7	23	2012
12.169	2012-03-06	Regular	Tuesday	6.92857	5.01481	DFW	ORD	3	6	2012
10.4271	2012-01-25	Regular	Wednesday	5.45455	4.15605	PHL	DFW	1	25	2012
10.9302	2012-07-24	Regular	Tuesday	11.087	8.1459	MSP	DEN	7	24	2012
11.841	2012-03-07	Regular	Wednesday	11.087	8.45261	ATL	MCO	3	7	2012
11.2063	2012-10-19	Regular	Friday	13.2609	10.7205	BOS	EWR	10	19	2012
11.0386	2011-10-30	Regular	Sunday	8.63158	6.49111	ORD	MSP	10	30	2011
10.0074	2011-12-25	Christmas Day	Sunday	12.8182	8.67199	EWR	LAX	12	25	2011
11.5294	2012-09-04	Regular	Tuesday	9.11111	6.08652	DEN	DFW	9	4	2012
12.0211	2012-03-09	Regular	Friday	13.25	10.0141	ORD	LAX	3	9	2012
10.7225	2011-10-02	Regular	Sunday	11.4091	7.92019	CLT	LGA	10	2	2011
12.065	2012-12-20	Regular	Thursday	18.4865	12.7772	SFO	JFK	12	20	2012
11.0285	2012-10-28	Regular	Sunday	13.2593	9.80028	MCO	ATL	10	28	2012
11.7198	2011-09-15	Regular	Thursday	9.64706	7.55762	ORD	DTW	9	15	2011
12.9343	2012-07-19	Regular	Thursday	11.1304	7.02789	ORD	DFW	7	19	2012
11.4101	2012-05-20	Regular	Sunday	11.7917	9.35753	LAX	DEN	5	20	2012
10.8432	2012-08-28	Regular	Tuesday	11.2632	9.15206	PHX	DEN	8	28	2012
11.4944	2013-01-28	Regular	Monday	12.2273	10.118	JFK	LAS	1	28	2013
11.1123	2012-05-17	Regular	Thursday	9.95	8.25562	CLT	ATL	5	17	2012
11.3559	2012-08-13	Regular	Monday	16.5938	10.957	ORD	SEA	8	13	2012
11.5751	2012-10-25	Regular	Thursday	11.5714	9.13549	DFW	PHL	10	25	2012
10.3919	2012-12-25	Christmas Day	Tuesday	15.0345	11.8908	DEN	LAX	12	25	2012
10.3705	2012-02-12	Regular	Sunday	14.75	10.7794	MIA	ATL	2	12	2012
12.1331	2011-10-11	Regular	Tuesday	11.2381	8.51413	ORD	EWR	10	11	2011
13.6953	2012-05-16	Regular	Wednesday	16.9143	11.7483	JFK	LAX	5	16	2012
11.1505	2012-03-19	Regular	Monday	12.625	9.79269	LAS	ORD	3	19	2012
10.2213	2012-07-16	Regular	Monday	13.5769	9.53383	MCO	PHL	7	16	2012
13.4048	2012-09-12	Regular	Wednesday	5	4.15605	BOS	LGA	9	12	2012
11.2336	2012-03-09	Regular	Friday	7.13333	4.71876	DFW	DEN	3	9	2012
11.3977	2012-11-20	Regular	Tuesday	12.44	8.2668	CLT	LGA	11	20	2012
10.9355	2013-01-21	Martin Luther King, Jr. Day	Monday	9.63158	7.1586	DEN	ORD	1	21	2013
9.95438	2011-11-05	Regular	Saturday	12.5417	10.215	ATL	PHL	11	5	2011
11.4628	2012-01-20	Regular	Friday	10.15	7.00582	DEN	DFW	1	20	2012
11.3001	2011-10-26	Regular	Wednesday	13.1538	8.67037	ATL	LAX	10	26	2011
10.4478	2011-09-24	Regular	Saturday	11.3636	7.87731	PHL	ORD	9	24	2011
10.9826	2012-02-17	Regular	Friday	12.7727	9.7489	DEN	SFO	2	17	2012
10.7924	2011-11-30	Regular	Wednesday	9.10526	5.80129	DTW	ATL	11	30	2011
10.8376	2011-12-19	Regular	Monday	15.3929	11.4676	JFK	MIA	12	19	2011
10.5286	2013-01-10	Regular	Thursday	13.0741	8.0619	PHL	MCO	1	10	2013
11.9762	2012-09-19	Regular	Wednesday	10.7368	8.31225	CLT	LGA	9	19	2012
13.2244	2011-10-28	Regular	Friday	14.8387	10.0998	JFK	LAX	10	28	2011
10.2367	2012-11-29	Regular	Thursday	11.7826	8.06201	JFK	LAS	11	29	2012
10.8488	2012-01-30	Regular	Monday	11.0526	9.60598	LGA	MIA	1	30	2012
11.3131	2012-03-21	Regular	Wednesday	8	5.65685	PHX	DEN	3	21	2012
10.656	2012-04-11	Regular	Wednesday	9.88889	8.93038	ATL	DTW	4	11	2012
11.7474	2012-06-24	Regular	Sunday	16.6176	11.7034	LAS	LAX	6	24	2012
11.5562	2012-12-13	Regular	Thursday	10.7826	7.83904	LAX	ATL	12	13	2012
9.61076	2012-09-01	Labor Day Weekend	Saturday	11.2727	7.74708	LAS	DEN	9	1	2012
11.7678	2013-01-07	Regular	Monday	9.23529	9.4176	ORD	MSP	1	7	2013
10.3416	2013-01-19	Regular	Saturday	13.3704	10.225	ATL	LAX	1	19	2013
10.8818	2011-09-11	Regular	Sunday	10.3684	7.88254	DTW	ORD	9	11	2011
11.0684	2011-10-18	Regular	Tuesday	9.55	6.00417	PHX	DEN	10	18	2011
10.4061	2012-01-10	Regular	Tuesday	13.5909	11.3752	ATL	SFO	1	10	2012
12.0476	2012-03-05	Regular	Monday	10.5714	8.62886	ATL	ORD	3	5	2012
13.0211	2011-09-22	Regular	Thursday	11.9583	7.83237	DFW	ORD	9	22	2011
10.4131	2011-11-20	Regular	Sunday	9	6.25911	DFW	LGA	11	20	2011
10.5483	2013-02-07	Regular	Thursday	13.1739	11.3324	LAX	IAH	2	7	2013
10.656	2011-12-15	Regular	Thursday	13.32	9.62514	PHX	ORD	12	15	2011
11.2109	2012-07-03	Regular	Tuesday	14.8621	10.1655	DFW	LAX	7	3	2012
10.656	2012-07-16	Regular	Monday	15.7143	11.3915	MCO	EWR	7	16	2012
10.7046	2012-03-07	Regular	Wednesday	8.13333	6.54508	DEN	MSP	3	7	2012
10.9618	2011-12-01	Regular	Thursday	10.5789	9.03275	SEA	LAX	12	1	2011
10.4819	2012-07-19	Regular	Thursday	12.3077	8.67534	DEN	LAS	7	19	2012
10.5677	2012-08-08	Regular	Wednesday	16.7667	12.4338	SFO	EWR	8	8	2012
11.4467	2012-07-17	Regular	Tuesday	11.8636	8.41368	ATL	LAX	7	17	2012
10.656	2012-06-19	Juneteenth	Tuesday	14	11.0084	EWR	MCO	6	19	2012
12.8716	2012-10-16	Regular	Tuesday	15.0345	11.9148	LAX	SFO	10	16	2012
11.0184	2012-04-12	Regular	Thursday	8.58824	5.8743	LAX	EWR	4	12	2012
11.8507	2011-10-25	Regular	Tuesday	11.619	9.04144	ORD	PHL	10	25	2011
10.0505	2012-04-08	Western Easter	Sunday	11.4783	9.17442	ATL	MCO	4	8	2012
11.6087	2012-02-24	Regular	Friday	11.3	9.47629	ORD	MSP	2	24	2012
10.4061	2013-01-07	Regular	Monday	9.2	6.97816	ATL	DTW	1	7	2013
8.28544	2011-11-24	Thanksgiving Day	Thursday	10.1765	7.30783	DEN	ORD	11	24	2011
11.4588	2012-06-04	Regular	Monday	8.73684	6.94296	EWR	ATL	6	4	2012
10.1419	2012-11-21	Thanksgiving Eve	Wednesday	11.4091	8.15714	LAS	DEN	11	21	2012
9.77573	2013-02-16	Regular	Saturday	9.27778	6.80662	ORD	PHX	2	16	2013
8.94403	2013-01-06	Regular	Sunday	3.5	2.44949	BOS	LGA	1	6	2013
10.2974	2011-10-12	Regular	Wednesday	12.9167	9.08853	PHL	MCO	10	12	2011
10.0074	2012-04-28	Regular	Saturday	15.8966	11.998	PHL	MCO	4	28	2012
9.98109	2012-11-04	Regular	Sunday	8.76471	8.76448	MSP	DEN	11	4	2012
11.6452	2012-09-12	Regular	Wednesday	11.55	10.1695	SEA	SFO	9	12	2012
10.6865	2012-05-27	Regular	Sunday	9.65	6.17529	ATL	PHL	5	27	2012
12.0736	2011-10-24	Regular	Monday	9.78947	6.67149	ATL	PHL	10	24	2011
10.9566	2011-09-11	Regular	Sunday	12.8077	8.14871	SFO	LAS	9	11	2011
13.009	2012-06-26	Regular	Tuesday	5.07692	3.77407	LGA	BOS	6	26	2012
13.513	2012-04-19	Regular	Thursday	15.9697	10.9615	LAX	JFK	4	19	2012
11.3936	2011-09-18	Regular	Sunday	13.6786	8.51166	LAS	ORD	9	18	2011
10.1419	2012-04-21	Regular	Saturday	9.61111	7.54702	SFO	DFW	4	21	2012
11.8114	2011-12-30	Regular	Friday	16.6471	11.6226	LAX	LAS	12	30	2011
11.2426	2012-07-16	Regular	Monday	12.381	11.3819	EWR	SFO	7	16	2012
11.0235	2012-09-09	Regular	Sunday	14.1538	10.4831	ORD	LAS	9	9	2012
11.5101	2012-09-26	Regular	Wednesday	12.0476	10.8465	DEN	DFW	9	26	2012
11.7232	2012-06-28	Regular	Thursday	11	8.3883	SFO	SEA	6	28	2012
10.7924	2012-02-05	Regular	Sunday	7.05882	4.95569	ORD	EWR	2	5	2012
10.832	2011-12-20	Regular	Tuesday	14.7586	10.937	ATL	MIA	12	20	2011
10.7461	2012-07-03	Regular	Tuesday	14.5	12.29	DFW	ORD	7	3	2012
11.1552	2012-04-27	Regular	Friday	11.0526	9.03372	IAH	ORD	4	27	2012
10.6124	2012-11-28	Regular	Wednesday	8.26667	8.85975	DFW	BOS	11	28	2012
9.91816	2012-02-25	Regular	Saturday	10	6.72779	DFW	LGA	2	25	2012
11.4707	2012-05-21	Regular	Monday	10.25	7.63562	EWR	LAX	5	21	2012
9.51113	2012-10-27	Regular	Saturday	11.15	8.49938	SEA	ORD	10	27	2012
12.1718	2012-08-09	Regular	Thursday	13.5385	9.16616	ORD	EWR	8	9	2012
11.8829	2012-08-10	Regular	Friday	9.29412	7.15686	DFW	ATL	8	10	2012
12.4337	2011-09-08	Regular	Thursday	10.6364	8.07433	ATL	LGA	9	8	2011
11.3432	2012-02-09	Regular	Thursday	13.087	10.0946	DEN	LAX	2	9	2012
11.0032	2011-11-23	Thanksgiving Eve	Wednesday	13.84	9.99033	SEA	SFO	11	23	2011
10.8432	2012-11-07	Regular	Wednesday	10.9412	11.5514	DEN	ORD	11	7	2012
11.605	2011-09-06	Regular	Tuesday	10.5	7.72505	PHL	BOS	9	6	2011
10.8981	2011-11-30	Regular	Wednesday	13.2917	9.53474	MIA	ATL	11	30	2011
10.7694	2012-04-22	Regular	Sunday	11.9545	9.74668	ATL	MSP	4	22	2012
12.4666	2011-12-09	Regular	Friday	12.6522	9.52799	ORD	DFW	12	9	2011
12.5885	2012-05-11	Regular	Friday	11.7273	9.07735	LGA	ATL	5	11	2012
10.3048	2012-01-28	Regular	Saturday	10.05	7.13387	DFW	ORD	1	28	2012
12.0122	2012-07-01	Regular	Sunday	14.3667	10.1046	SFO	LAX	7	1	2012
9.81479	2013-01-01	New Year's Day	Tuesday	13.6667	8.94857	LAX	BOS	1	1	2013
9.41786	2013-03-04	Regular	Monday	11.7778	10.8928	ATL	DTW	3	4	2013
11.8861	2012-02-16	Regular	Thursday	14.7241	9.7244	LAX	ATL	2	16	2012
12.2779	2011-11-08	Regular	Tuesday	7.05882	4.95569	BOS	PHL	11	8	2011
7.66668	2011-12-31	New Year's Eve	Saturday	11.5556	7.62521	EWR	BOS	12	31	2011
12.4408	2011-12-05	Regular	Monday	8.88889	7.56842	ORD	MSP	12	5	2011
10.8152	2012-04-24	Regular	Tuesday	11.5217	10.3171	MIA	ATL	4	24	2012
11.9114	2012-04-01	Regular	Sunday	9.1	6.90461	ATL	LGA	4	1	2012
9.07783	2012-04-14	Regular	Saturday	9	6.25911	ORD	DEN	4	14	2012
12.7192	2012-08-27	Regular	Monday	15.871	11.7381	LAX	SFO	8	27	2012
11.8797	2012-11-04	Regular	Sunday	13.1154	10.2306	JFK	SFO	11	4	2012
10.6498	2012-02-04	Regular	Saturday	14.1724	10.704	ATL	LAX	2	4	2012
10.4201	2011-12-27	Regular	Tuesday	17.0625	11.7938	PHL	MCO	12	27	2011
12.5308	2012-05-09	Regular	Wednesday	9.1	6.89699	ATL	LGA	5	9	2012
11.9019	2012-01-11	Regular	Wednesday	14.9643	11.0537	LAX	LAS	1	11	2012
11.1971	2012-07-19	Regular	Thursday	13.8462	10.9898	LAS	SFO	7	19	2012
11.3304	2013-02-18	Washington's Birthday	Monday	12.3182	10.5035	ATL	BOS	2	18	2013
10.6124	2012-01-22	Regular	Sunday	7.4375	6.25	CLT	ATL	1	22	2012
11.3686	2012-08-20	Regular	Monday	14.6786	11.6906	LAX	ATL	8	20	2012
12.4337	2012-02-22	Regular	Wednesday	10.5238	8.26813	ATL	LGA	2	22	2012
10.4201	2013-02-18	Washington's Birthday	Monday	14.037	11.2266	LAS	JFK	2	18	2013
10.9142	2012-05-17	Regular	Thursday	13.5556	8.8245	DEN	SEA	5	17	2012
11.2605	2012-02-20	Washington's Birthday	Monday	7.66667	5.93617	BOS	SFO	2	20	2012
11.8733	2011-11-17	Regular	Thursday	8.63158	6.64338	ORD	DTW	11	17	2011
9.57814	2013-01-01	New Year's Day	Tuesday	10.2727	7.63564	DFW	LGA	1	1	2013
12.6592	2012-08-29	Regular	Wednesday	15.871	12.0353	SFO	LAX	8	29	2012
11.3389	2011-09-06	Regular	Tuesday	8.82353	6.28724	DTW	ORD	9	6	2011
10.3048	2011-12-10	Regular	Saturday	11.3478	7.35223	SEA	LAX	12	10	2011
10.5742	2012-09-11	Regular	Tuesday	11.9167	7.82369	LAS	DEN	9	11	2012
9.55607	2011-12-22	Regular	Thursday	9.75	9.63674	DFW	PHL	12	22	2011
9.99868	2012-12-27	Regular	Thursday	14.8929	10.2464	LAX	IAH	12	27	2012
11.4427	2012-08-23	Regular	Thursday	11.0526	10.146	CLT	LGA	8	23	2012
10.8598	2012-11-11	Veterans Day	Sunday	9.94118	10.0404	DEN	DFW	11	11	2012
11.8442	2013-02-27	Regular	Wednesday	11.6	10.47	SFO	SEA	2	27	2013
11.5486	2012-03-12	Regular	Monday	9.06667	8.81125	DEN	SFO	3	12	2012
11.8147	2012-03-10	Regular	Saturday	12.8636	10.8202	JFK	SFO	3	10	2012
11.4467	2012-11-25	Regular	Sunday	10.3	7.63717	SFO	ORD	11	25	2012
11.541	2012-06-27	Regular	Wednesday	11.1304	9.73888	LAX	SEA	6	27	2012
12.4146	2012-02-15	Regular	Wednesday	7.0625	5.47076	LGA	ATL	2	15	2012
10.5742	2012-01-05	Regular	Thursday	12.9615	10.4326	DEN	SFO	1	5	2012
10.2213	2011-11-22	Regular	Tuesday	11.1905	8.39416	CLT	ATL	11	22	2011
11.2381	2012-05-21	Regular	Monday	11.76	8.53073	ORD	LAS	5	21	2012
10.327	2013-01-08	Regular	Tuesday	11.2727	8.86503	ATL	MIA	1	8	2013
10.6925	2013-01-21	Martin Luther King, Jr. Day	Monday	9.0625	8.1851	ATL	CLT	1	21	2013
10.2213	2013-01-02	Regular	Wednesday	9.84211	7.30497	DTW	LGA	1	2	2013
10.5418	2012-04-24	Regular	Tuesday	14	12.6419	EWR	SFO	4	24	2012
10.4954	2013-01-17	Regular	Thursday	7.66667	6.0553	DEN	ATL	1	17	2013
10.434	2012-09-01	Labor Day Weekend	Saturday	13.5769	9.41137	ORD	SFO	9	1	2012
10.4547	2012-03-15	Regular	Thursday	12.2381	10.3726	SFO	LAS	3	15	2012
12.2959	2012-01-26	Regular	Thursday	7.5	6.121	ATL	LGA	1	26	2012
10.2974	2012-12-23	Regular	Sunday	14.36	10.9197	LAX	DFW	12	23	2012
10.1899	2012-02-25	Regular	Saturday	14.9259	12.658	ORD	DEN	2	25	2012
11.6307	2012-02-13	Regular	Monday	9.66667	8	ATL	PHL	2	13	2012
11.0486	2012-01-08	Regular	Sunday	11	8.78396	SFO	BOS	1	8	2012
9.73584	2011-11-21	Regular	Monday	10.1053	7.6004	PHX	ORD	11	21	2011
10.3919	2012-09-09	Regular	Sunday	11.8261	9.74517	ATL	MIA	9	9	2012
10.4751	2012-07-28	Regular	Saturday	13.2963	10.1368	LAX	DEN	7	28	2012
10.8264	2012-01-18	Regular	Wednesday	8.125	5.41449	DEN	ORD	1	18	2012
9.26858	2011-10-08	Regular	Saturday	8.70588	6.40083	DFW	DEN	10	8	2011
10.1661	2012-04-01	Regular	Sunday	8.95	6.66076	DFW	BOS	4	1	2012
11.4787	2012-03-05	Regular	Monday	8.21429	6.85205	DFW	SFO	3	5	2012
9.8051	2012-03-27	Regular	Tuesday	8.125	5.86373	DTW	ATL	3	27	2012
12.8413	2012-01-12	Regular	Thursday	15.75	11.7364	LAS	LAX	1	12	2012
11.1315	2011-10-12	Regular	Wednesday	11.381	8.3155	ORD	SEA	10	12	2011
12.6486	2012-01-06	Regular	Friday	18.5556	12.1666	LAX	JFK	1	6	2012
10.9249	2012-01-06	Regular	Friday	16.6562	11.3097	JFK	MIA	1	6	2012
9.57814	2011-12-20	Regular	Tuesday	9.57895	6.46629	ORD	LAS	12	20	2011
10.6187	2012-01-02	Regular	Monday	10.7273	6.95004	PHL	ORD	1	2	2012
11.8669	2012-10-20	Regular	Saturday	16.7647	11.6021	LAX	SFO	10	20	2012
11.2381	2013-01-20	Regular	Sunday	8.29412	5.52002	ATL	LGA	1	20	2013
11.638	2012-02-21	Regular	Tuesday	12.8261	9.79635	ATL	LAX	2	21	2012
13.1353	2013-01-11	Regular	Friday	17.9143	13.1067	LAS	SFO	1	11	2013
9.21604	2012-12-15	Regular	Saturday	11.4	7.56307	DEN	ORD	12	15	2012
11.0536	2012-04-21	Regular	Saturday	11.1765	10.3636	LGA	ORD	4	21	2012
10.9142	2012-03-04	Regular	Sunday	10.75	9.27291	DEN	SFO	3	4	2012
12.0679	2012-08-06	Regular	Monday	10.5217	7.40927	ATL	PHL	8	6	2012
9.76584	2012-05-15	Regular	Tuesday	9.25	9.4481	LAS	DFW	5	15	2012
9.44162	2012-05-12	Regular	Saturday	13.0476	11.6768	ATL	EWR	5	12	2012
11.9518	2011-09-19	Regular	Monday	11	8.14081	ATL	LAX	9	19	2011
11.5062	2012-02-16	Regular	Thursday	11.8636	8.32263	ORD	IAH	2	16	2012
11.5448	2011-12-09	Regular	Friday	9.55556	7.22107	PHL	ATL	12	9	2011
10.6498	2011-09-25	Regular	Sunday	12.8148	9.08946	DEN	MSP	9	25	2011
12.2467	2011-12-28	Regular	Wednesday	19.6829	12.8422	LAX	JFK	12	28	2011
12.2388	2012-09-28	Regular	Friday	15.8333	11.1327	LAX	ORD	9	28	2012
12.0388	2013-01-18	Regular	Friday	14.1	9.31202	LAX	ATL	1	18	2013
12.5797	2011-09-01	Regular	Thursday	6.58333	7.21688	LGA	BOS	9	1	2011
10.229	2011-12-22	Regular	Thursday	18	11.7599	LGA	MIA	12	22	2011
11.0486	2012-03-26	Regular	Monday	10.0952	6.37891	SFO	DEN	3	26	2012
10.1009	2011-11-29	Regular	Tuesday	11.5714	8.19495	LAS	SFO	11	29	2011
11.7302	2012-11-16	Regular	Friday	9.85	6.49919	ATL	PHL	11	16	2012
10.4201	2012-01-30	Regular	Monday	9.16667	7.77061	LAX	BOS	1	30	2012
11.7232	2012-08-23	Regular	Thursday	14.0345	9.66763	SEA	LAX	8	23	2012
7.94979	2012-12-08	Regular	Saturday	3	2.82843	LGA	BOS	12	8	2012
10.327	2012-01-03	Regular	Tuesday	11.0556	10.4289	BOS	EWR	1	3	2012
11.9114	2011-09-22	Regular	Thursday	14.5333	8.8619	SFO	EWR	9	22	2011
11.0734	2012-08-30	Regular	Thursday	8.66667	5.65685	SEA	DEN	8	30	2012
11.2694	2012-08-09	Regular	Thursday	8.27778	6.43342	ATL	DTW	8	9	2012
11.5826	2012-10-11	Regular	Thursday	12.64	8.58235	BOS	SFO	10	11	2012
10.2673	2012-10-21	Regular	Sunday	8.0625	5.79044	PHL	BOS	10	21	2012
10.6374	2011-09-02	Regular	Friday	8.29412	5.54262	ATL	MSP	9	2	2011
9.48824	2013-01-05	Regular	Saturday	13	12.4007	DEN	PHX	1	5	2013
10.5677	2011-09-24	Regular	Saturday	12.9583	8.69522	DFW	LAX	9	24	2011
10.6925	2012-06-18	Regular	Monday	13.56	10.4645	LAS	SFO	6	18	2012
11.4265	2012-05-03	Regular	Thursday	11.2727	7.73478	SFO	DFW	5	3	2012
10.587	2011-11-16	Regular	Wednesday	10.2632	8.12296	DEN	ATL	11	16	2011
11.8475	2012-01-30	Regular	Monday	12.2727	11.1619	ATL	ORD	1	30	2012
11.638	2011-11-18	Regular	Friday	8.8125	7.34138	LGA	DFW	11	18	2011
11.4667	2012-10-22	Regular	Monday	12.3636	9.82487	SFO	DFW	10	22	2012
10.8818	2012-06-18	Regular	Monday	6.92857	4.92192	DFW	PHL	6	18	2012
10.7752	2012-09-06	Regular	Thursday	10.9545	8.46549	MSP	DEN	9	6	2012
10.587	2013-01-08	Regular	Tuesday	10.3333	6.71813	SFO	BOS	1	8	2013
9.61076	2013-02-08	Regular	Friday	7.55556	8.79078	PHL	BOS	2	8	2013
10.5742	2013-02-15	Regular	Friday	9.0625	7.07549	CLT	LGA	2	15	2013
11.3088	2012-08-06	Regular	Monday	11.5238	9.91271	EWR	ATL	8	6	2012
10.4409	2012-08-17	Regular	Friday	9	7.00476	PHL	DFW	8	17	2012
13.333	2012-12-19	Regular	Wednesday	11.2778	10.7255	LGA	ORD	12	19	2012
11.1786	2012-05-22	Regular	Tuesday	10.5	8.42615	SFO	DFW	5	22	2012
9.13435	2012-09-01	Labor Day Weekend	Saturday	15.3636	12.9341	ATL	EWR	9	1	2012
10.4061	2012-01-19	Regular	Thursday	10.8	7.85795	DEN	LAS	1	19	2012
10.1256	2011-12-23	Regular	Friday	13.96	10.4103	ORD	DEN	12	23	2011
11.8213	2011-11-11	Veterans Day	Friday	10.7368	8.83706	ATL	ORD	11	11	2011
10.2899	2012-09-12	Regular	Wednesday	15.6207	11.1625	PHL	MCO	9	12	2012
9.36942	2011-12-13	Regular	Tuesday	8.64706	6.06157	LAS	DFW	12	13	2011
11.0083	2012-04-17	Regular	Tuesday	10.5238	6.99728	SEA	LAX	4	17	2012
10.7165	2012-08-20	Regular	Monday	15.1786	10.8014	MCO	PHL	8	20	2012
9.39379	2011-11-05	Regular	Saturday	9.88889	7.29132	EWR	ATL	11	5	2011
11.6343	2011-10-26	Regular	Wednesday	14.1667	10.5033	DFW	LAX	10	26	2011
11.5333	2011-11-03	Regular	Thursday	10.75	8.23903	BOS	ATL	11	3	2011
11.9145	2012-08-10	Regular	Friday	9.57143	6.91789	ATL	ORD	8	10	2012
10.434	2012-07-15	Regular	Sunday	14.4828	9.50045	PHL	MCO	7	15	2012
11.1599	2012-05-23	Regular	Wednesday	9.31579	6.20083	PHX	ORD	5	23	2012
11.6882	2012-05-20	Regular	Sunday	13.56	9.87455	BOS	ORD	5	20	2012
10.7046	2012-06-05	Regular	Tuesday	10.4211	7.87624	IAH	ORD	6	5	2012
11.2245	2012-03-07	Regular	Wednesday	8.06667	6.44168	SEA	LAX	3	7	2012
11.8507	2012-04-20	Regular	Friday	11.0909	7.23687	LGA	MIA	4	20	2012
10.9514	2013-01-22	Regular	Tuesday	8.94737	6.77802	DTW	ATL	1	22	2013
11.0436	2012-05-27	Regular	Sunday	14.0714	10.8898	LAX	LAS	5	27	2012
10.4615	2013-02-22	Regular	Friday	7.4	4.91063	SEA	DEN	2	22	2013
